crop_type,yield,rainfall,temperature,soil_type,fertilizer_used,pesticide_used,harvest_date
barley,0,37,50,loamy,true,false,12/10/2022
corn,93,47,3,loamy,true,true,5/23/2022
wheat,57,31,43,loamy,false,true,4/12/2022
rice,66,13,27,clayey,true,false,11/7/2022
soybeans,30,47,14,sandy,false,true,8/26/2022
wheat,1,0,-3,sandy,false,true,11/16/2022
wheat,26,45,7,loamy,false,true,5/17/2022
rice,48,48,48,sandy,false,false,7/31/2022
wheat,88,15,-5,clayey,true,false,10/4/2022
rice,18,12,47,sandy,true,false,4/23/2022
soybeans,25,28,-4,loamy,false,true,3/16/2022
corn,99,44,23,loamy,false,false,10/9/2022
rice,87,47,14,clayey,true,false,6/12/2022
rice,44,29,17,loamy,false,false,8/29/2022
wheat,80,24,33,loamy,false,true,2/14/2022
rice,44,30,48,sandy,true,true,5/12/2022
soybeans,61,36,2,loamy,true,false,2/23/2022
barley,3,12,-11,loamy,true,true,5/20/2022
corn,15,18,38,loamy,true,true,10/21/2022
rice,36,35,45,loamy,false,false,7/12/2022
soybeans,98,2,-17,sandy,true,false,7/16/2022
wheat,81,13,14,loamy,false,true,12/12/2022
soybeans,62,47,33,sandy,false,false,8/7/2022
wheat,99,37,-11,loamy,true,true,6/4/2022
wheat,17,22,50,sandy,false,true,12/11/2022
soybeans,88,37,3,sandy,false,false,1/16/2022
soybeans,40,44,34,clayey,false,true,2/26/2022
wheat,64,20,-5,sandy,false,true,6/9/2022
barley,99,7,35,loamy,false,true,1/26/2022
corn,40,27,4,clayey,true,true,4/8/2022
wheat,86,16,16,sandy,false,true,4/19/2022
barley,45,0,48,sandy,false,false,2/13/2022
barley,69,15,24,loamy,false,true,7/8/2022
soybeans,74,33,-9,sandy,true,true,3/11/2022
soybeans,7,40,39,sandy,false,true,2/20/2022
soybeans,92,5,0,clayey,true,true,7/8/2022
barley,39,7,-17,loamy,false,true,10/15/2022
barley,95,44,1,loamy,false,false,1/28/2022
soybeans,20,35,24,loamy,true,false,2/15/2022
wheat,42,41,13,clayey,false,false,7/27/2022
barley,65,26,-11,sandy,true,false,8/3/2022
corn,16,4,9,sandy,false,true,7/4/2022
rice,40,7,18,clayey,true,true,11/18/2022
soybeans,53,4,-2,loamy,true,false,1/8/2022
barley,35,7,-20,loamy,false,false,2/26/2022
barley,13,42,-3,clayey,false,true,8/1/2022
soybeans,47,37,29,clayey,true,false,9/11/2022
rice,86,3,-7,clayey,true,true,12/10/2022
barley,72,1,36,sandy,false,true,7/20/2022
wheat,30,48,31,loamy,false,true,11/9/2022
corn,76,48,35,clayey,false,true,1/31/2022
barley,83,49,-16,clayey,false,false,9/27/2022
wheat,13,6,2,clayey,true,false,9/13/2022
barley,50,44,17,sandy,true,true,11/2/2022
barley,11,27,38,loamy,false,true,12/16/2022
rice,59,24,4,clayey,false,false,7/9/2022
wheat,47,18,-8,clayey,false,true,9/6/2022
rice,33,10,6,sandy,true,true,3/8/2022
soybeans,82,32,31,clayey,false,false,8/26/2022
corn,66,14,0,sandy,true,true,8/3/2022
barley,63,44,43,sandy,false,false,11/1/2022
barley,19,47,-11,loamy,true,false,12/1/2022
corn,53,5,-10,loamy,true,false,10/15/2022
wheat,81,50,32,sandy,false,true,1/26/2022
corn,37,36,30,loamy,true,true,10/25/2022
corn,43,46,46,clayey,true,false,7/25/2022
soybeans,29,16,-14,clayey,false,false,12/6/2022
wheat,98,19,37,clayey,false,true,9/30/2022
barley,54,21,15,sandy,false,false,5/19/2022
rice,11,20,21,sandy,true,false,5/6/2022
corn,93,28,26,sandy,false,false,11/20/2022
barley,88,33,12,loamy,false,true,5/10/2022
corn,91,24,18,loamy,true,false,8/11/2022
barley,47,13,19,clayey,true,false,4/23/2022
wheat,7,14,1,clayey,false,false,12/20/2022
soybeans,62,8,27,clayey,true,false,12/17/2022
soybeans,20,38,30,sandy,true,true,1/20/2022
soybeans,15,28,-12,clayey,false,false,5/1/2022
corn,49,33,15,clayey,true,true,8/16/2022
barley,1,37,46,loamy,true,false,11/8/2022
corn,8,31,-1,loamy,false,false,12/20/2022
barley,71,28,49,loamy,true,true,8/18/2022
wheat,49,39,9,clayey,true,false,5/16/2022
barley,8,20,-11,clayey,false,true,7/19/2022
soybeans,9,11,35,loamy,true,false,8/13/2022
corn,26,0,-2,sandy,false,false,3/24/2022
corn,33,28,44,sandy,false,true,12/3/2022
corn,100,18,-20,loamy,false,true,8/4/2022
corn,53,36,40,loamy,false,true,2/20/2022
soybeans,51,33,29,sandy,false,false,8/30/2022
corn,12,9,33,sandy,true,true,9/20/2022
rice,28,13,3,clayey,true,false,2/7/2022
soybeans,81,17,35,sandy,true,false,9/7/2022
wheat,4,32,47,clayey,false,true,5/12/2022
wheat,85,14,49,clayey,false,false,8/13/2022
barley,25,2,40,loamy,true,false,10/7/2022
wheat,37,13,43,clayey,true,false,8/12/2022
barley,13,15,15,sandy,true,true,2/20/2022
barley,9,41,-1,clayey,true,false,10/11/2022
soybeans,28,44,9,loamy,true,true,10/19/2022
wheat,52,27,13,loamy,true,false,8/25/2022
rice,0,21,38,clayey,false,false,5/20/2022
corn,39,26,18,loamy,true,false,12/30/2022
corn,95,3,5,loamy,false,true,11/8/2022
corn,57,10,14,clayey,true,true,9/6/2022
rice,63,31,31,clayey,true,true,6/25/2022
barley,83,23,29,clayey,true,false,1/10/2022
corn,68,27,15,loamy,true,false,6/26/2022
barley,78,47,43,clayey,true,true,4/7/2022
rice,62,39,20,sandy,false,true,2/12/2022
wheat,79,45,16,loamy,false,true,7/6/2022
wheat,0,40,39,sandy,false,true,11/4/2022
rice,6,44,-15,sandy,false,true,1/27/2022
rice,36,45,-15,sandy,false,false,6/28/2022
corn,37,29,21,sandy,true,true,10/25/2022
barley,34,28,5,loamy,false,true,7/31/2022
rice,76,50,35,loamy,true,false,4/15/2022
soybeans,32,27,-7,sandy,false,true,3/11/2022
barley,11,28,-13,clayey,false,true,2/1/2022
barley,15,18,23,loamy,false,false,8/18/2022
rice,87,7,-5,sandy,true,false,5/25/2022
rice,26,17,35,clayey,true,false,10/14/2022
rice,59,26,29,loamy,false,false,11/24/2022
rice,85,22,5,loamy,false,false,1/8/2022
wheat,53,3,36,sandy,false,true,12/7/2022
barley,85,25,-15,clayey,false,true,11/1/2022
corn,79,13,31,loamy,false,true,3/9/2022
rice,56,2,19,clayey,false,true,10/19/2022
rice,0,3,31,sandy,true,false,1/1/2022
rice,57,27,-19,clayey,true,false,2/15/2022
corn,72,10,18,loamy,true,false,4/23/2022
barley,23,34,-2,clayey,true,false,5/20/2022
barley,4,0,-6,loamy,false,true,4/27/2022
corn,30,49,-6,loamy,false,false,1/26/2022
corn,16,34,20,loamy,false,false,12/3/2022
wheat,67,12,-19,clayey,false,true,4/4/2022
barley,76,32,30,sandy,true,false,12/9/2022
rice,96,35,3,clayey,false,false,6/23/2022
rice,7,10,12,clayey,true,false,7/2/2022
soybeans,70,2,18,sandy,true,false,10/12/2022
wheat,67,21,47,sandy,true,true,4/7/2022
barley,18,34,-16,clayey,false,false,9/11/2022
rice,25,23,4,loamy,true,true,6/14/2022
soybeans,78,4,32,sandy,true,true,8/14/2022
wheat,15,36,42,sandy,true,false,6/2/2022
rice,61,5,-4,sandy,false,true,8/21/2022
soybeans,9,28,48,loamy,false,false,3/27/2022
barley,96,25,7,clayey,false,false,12/29/2022
soybeans,28,32,8,clayey,false,false,10/31/2022
corn,42,10,33,clayey,true,false,12/17/2022
barley,13,40,-8,clayey,true,true,6/1/2022
soybeans,85,36,-20,loamy,false,true,4/24/2022
wheat,56,18,37,sandy,false,true,11/24/2022
wheat,24,35,1,sandy,true,true,6/27/2022
rice,52,31,44,sandy,false,true,3/19/2022
corn,99,0,40,sandy,true,true,7/1/2022
soybeans,39,39,45,clayey,false,true,10/21/2022
corn,81,24,-16,clayey,true,false,1/7/2022
soybeans,23,21,-1,clayey,false,false,2/17/2022
rice,13,21,2,loamy,false,true,1/8/2022
rice,92,39,4,loamy,false,false,8/11/2022
barley,29,23,-7,sandy,false,false,11/1/2022
soybeans,18,29,0,loamy,false,true,8/25/2022
rice,55,40,-15,sandy,true,false,4/7/2022
barley,16,29,-11,clayey,false,true,10/12/2022
wheat,41,14,49,sandy,true,false,3/25/2022
corn,95,25,12,sandy,false,false,5/13/2022
soybeans,0,42,-14,sandy,true,true,2/1/2022
barley,26,11,48,sandy,true,true,8/16/2022
wheat,73,20,8,sandy,false,true,1/10/2022
corn,23,20,48,sandy,false,false,10/8/2022
soybeans,60,13,11,loamy,false,false,2/6/2022
soybeans,48,26,6,sandy,true,true,10/9/2022
corn,23,42,4,clayey,true,true,2/28/2022
wheat,71,43,38,loamy,false,false,2/6/2022
barley,83,38,-7,loamy,false,false,5/20/2022
corn,23,16,36,sandy,false,false,11/4/2022
corn,16,16,21,loamy,true,true,8/20/2022
corn,89,47,-15,clayey,false,false,5/11/2022
corn,30,29,50,clayey,true,false,9/22/2022
soybeans,20,46,39,loamy,true,true,10/17/2022
soybeans,93,29,41,loamy,false,true,9/11/2022
rice,8,41,48,loamy,false,false,2/6/2022
corn,58,15,12,sandy,false,true,1/12/2022
soybeans,86,2,48,clayey,false,true,10/15/2022
rice,61,15,-17,sandy,false,true,11/23/2022
soybeans,65,22,-11,loamy,false,false,10/26/2022
wheat,86,50,12,sandy,false,true,5/10/2022
rice,15,26,22,clayey,true,false,7/13/2022
soybeans,47,12,7,loamy,false,false,2/5/2022
corn,54,4,26,loamy,true,false,5/5/2022
barley,29,31,49,sandy,false,true,4/13/2022
rice,37,15,12,loamy,false,true,2/2/2022
soybeans,15,42,37,sandy,false,true,2/26/2022
rice,29,41,14,loamy,true,true,9/24/2022
rice,91,43,11,sandy,false,true,8/9/2022
soybeans,8,43,10,loamy,false,true,9/2/2022
barley,59,8,49,loamy,false,true,2/22/2022
barley,57,19,34,loamy,true,true,5/20/2022
rice,57,11,14,sandy,true,false,12/26/2022
corn,69,18,-17,sandy,true,true,3/24/2022
soybeans,55,4,-20,sandy,false,false,2/3/2022
corn,26,28,35,clayey,true,false,9/9/2022
wheat,60,24,21,sandy,false,true,10/20/2022
soybeans,42,22,43,clayey,false,true,6/21/2022
barley,27,27,12,loamy,true,false,2/28/2022
soybeans,82,50,5,clayey,true,false,10/2/2022
soybeans,50,3,43,sandy,true,true,6/9/2022
soybeans,3,43,37,sandy,false,false,10/3/2022
barley,84,6,10,clayey,true,false,11/26/2022
barley,34,35,-8,sandy,false,true,10/10/2022
barley,4,33,46,clayey,true,true,5/11/2022
soybeans,39,29,-10,sandy,true,true,10/29/2022
barley,67,17,35,clayey,true,false,9/30/2022
barley,33,43,39,sandy,false,true,4/17/2022
wheat,42,39,29,clayey,true,false,11/16/2022
corn,27,48,50,clayey,true,true,11/26/2022
soybeans,30,49,-18,loamy,false,false,6/12/2022
soybeans,92,38,-15,loamy,true,true,10/22/2022
soybeans,55,8,12,loamy,true,false,1/25/2022
soybeans,84,34,8,sandy,true,false,3/31/2022
soybeans,29,49,5,sandy,true,true,8/11/2022
rice,8,15,26,sandy,false,false,9/29/2022
barley,53,19,-8,clayey,true,true,4/25/2022
corn,100,40,38,loamy,true,true,11/23/2022
soybeans,56,47,4,loamy,false,true,9/8/2022
rice,24,36,33,clayey,false,false,5/5/2022
rice,59,33,22,loamy,true,false,3/17/2022
corn,23,48,-16,loamy,false,false,7/1/2022
wheat,100,19,1,clayey,false,false,7/3/2022
barley,71,0,31,loamy,false,false,6/19/2022
wheat,3,39,45,loamy,true,true,1/4/2022
corn,85,23,25,clayey,false,false,8/31/2022
wheat,65,8,24,loamy,true,true,1/23/2022
barley,52,26,11,loamy,true,true,9/29/2022
barley,20,35,-9,loamy,true,false,8/15/2022
barley,5,10,-9,clayey,true,false,5/20/2022
corn,65,28,23,sandy,true,false,10/21/2022
rice,72,14,7,sandy,true,false,9/1/2022
wheat,42,49,31,clayey,false,false,2/23/2022
corn,91,30,-2,sandy,false,true,3/25/2022
soybeans,2,3,-14,sandy,true,true,6/22/2022
wheat,19,30,26,sandy,false,false,3/13/2022
corn,22,29,18,clayey,false,true,3/9/2022
barley,52,38,-1,clayey,false,true,4/29/2022
soybeans,49,30,30,sandy,false,false,8/12/2022
barley,43,18,-3,loamy,true,true,7/25/2022
rice,20,16,-2,clayey,true,false,10/4/2022
soybeans,20,15,12,loamy,false,false,1/5/2022
barley,67,23,42,loamy,true,true,10/27/2022
barley,34,21,-17,sandy,true,true,4/2/2022
corn,82,41,7,loamy,true,true,6/11/2022
corn,68,39,-3,loamy,false,true,6/17/2022
barley,7,8,-11,loamy,true,false,6/1/2022
wheat,42,4,12,clayey,false,true,10/21/2022
barley,28,43,-12,clayey,false,true,10/23/2022
wheat,33,46,23,clayey,false,true,4/27/2022
wheat,76,32,44,clayey,false,true,11/29/2022
rice,95,29,-17,sandy,true,true,12/13/2022
